id	problem	loc	target_method	target_signature	original_path
cc-valid-r113-s0083-1574-c-slay-the-dragon	1574_C. Slay the Dragon	297	find	long check5.find(long, Set<Long>, long[], int, long, long)	candidates/cc-valid-r113-s0083-1574-c-slay-the-dragon/original.java
cc-valid-r070-s0080-1560-e-polycarp-and-string-transformation	1560_E. Polycarp and String Transformation	304	check	boolean Template.check(String, String, String)	candidates/cc-valid-r070-s0080-1560-e-polycarp-and-string-transformation/original.java
cc-valid-r110-s0039-1573-c-book	1573_C. Book	293	cal	int C_Round_743_Div2.cal(int, boolean[], int[][])	candidates/cc-valid-r110-s0039-1573-c-book/original.java
cc-valid-r086-s0131-1566-c-max-mex-cut	1566_C. MAX-MEX Cut	290	cal	int C_Global_Round16.cal(int, int, int[][])	candidates/cc-valid-r086-s0131-1566-c-max-mex-cut/original.java
cc-valid-r069-s0346-1560-d-make-a-power-of-two	1560_D. Make a Power of Two	315	buscarGreedy	int PowerTwo.buscarGreedy(String)	candidates/cc-valid-r069-s0346-1560-d-make-a-power-of-two/original.java
cc-valid-r069-s0054-1560-d-make-a-power-of-two	1560_D. Make a Power of Two	321	getMin	int Solve.getMin(String, ArrayList<Long>)	candidates/cc-valid-r069-s0054-1560-d-make-a-power-of-two/original.java
cc-valid-r026-s0005-1553-c-penalty	1553_C. Penalty	277	helper	int Main.helper(int, int, int, int, int, char[])	candidates/cc-valid-r026-s0005-1553-c-penalty/original.java
cc-valid-r070-s0014-1560-e-polycarp-and-string-transformation	1560_E. Polycarp and String Transformation	323	check	boolean Template.check(String, String, String)	candidates/cc-valid-r070-s0014-1560-e-polycarp-and-string-transformation/original.java
cc-valid-r088-s0111-1566-d2-seating-arrangements-hard-version	1566_D2. Seating Arrangements (hard version) 	277	getLastEmpty	int SeatingArrangementsV2.getLastEmpty(BinaryIndexTreeDataStructure<Integer>, int)	candidates/cc-valid-r088-s0111-1566-d2-seating-arrangements-hard-version/original.java
cc-valid-r070-s0285-1560-e-polycarp-and-string-transformation	1560_E. Polycarp and String Transformation	324	check	boolean E_Round_739_Div3.check(String, String, String)	candidates/cc-valid-r070-s0285-1560-e-polycarp-and-string-transformation/original.java
cc-valid-r040-s0219-1555-c-coin-rows	1555_C. Coin Rows	274	game	long LoveJava.game(String[], String[], int)	candidates/cc-valid-r040-s0219-1555-c-coin-rows/original.java
cc-valid-r045-s0246-1556-b-take-your-places	1556_B. Take Your Places!	326	fun	int Main.fun(int, long[])	candidates/cc-valid-r045-s0246-1556-b-take-your-places/original.java
cc-valid-r094-s0350-1567-c-carrying-conundrum	1567_C. Carrying Conundrum	326	eval	long C1567.eval(char [], int, int, int, long [][], boolean, boolean)	candidates/cc-valid-r094-s0350-1567-c-carrying-conundrum/original.java
cc-valid-r035-s0234-1554-c-mikasa	1554_C. Mikasa	272	cal	int C_Round_735_Div2.cal(int, int, int, int)	candidates/cc-valid-r035-s0234-1554-c-mikasa/original.java
cc-valid-r054-s0229-1557-c-moamen-and-xor	1557_C. Moamen and XOR	271	cal	long C_Round_737_Div2.cal(int, int, int, long, long)	candidates/cc-valid-r054-s0229-1557-c-moamen-and-xor/original.java
cc-valid-r109-s0175-1573-a-countdown	1573_A. Countdown	271	find	int Codeforces1.find(int, char[])	candidates/cc-valid-r109-s0175-1573-a-countdown/original.java
cc-valid-r027-s0184-1553-d-backspace	1553_D. Backspace	270	solve	String codeforces.solve(String, String)	candidates/cc-valid-r027-s0184-1553-d-backspace/original.java
cc-valid-r113-s0164-1574-c-slay-the-dragon	1574_C. Slay the Dragon	266	get	long ferrisWheel.get(Long [], long)	candidates/cc-valid-r113-s0164-1574-c-slay-the-dragon/original.java
cc-valid-r079-s0140-1562-b-scenes-from-a-memory	1562_B. Scenes From a Memory	264	isPrime	boolean Main.isPrime(int)	candidates/cc-valid-r079-s0140-1562-b-scenes-from-a-memory/original.java
cc-valid-r088-s0102-1566-d2-seating-arrangements-hard-version	1566_D2. Seating Arrangements (hard version) 	261	solve	long Main.solve(ArrayList<pair>, int)	candidates/cc-valid-r088-s0102-1566-d2-seating-arrangements-hard-version/original.java
cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game	1549_B. Gregor and the Pawn Game	344	pawnLineal	int Chess.pawnLineal(String, String)	candidates/cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game/original.java
cc-valid-r013-s0260-1551-d2-domino-hard-version	1551_D2. Domino (hard version)	345	cal	boolean D1_Round_734_Div3.cal(int, int, int, int)	candidates/cc-valid-r013-s0260-1551-d2-domino-hard-version/original.java
cc-valid-r101-s0059-1569-d-inconvenient-pairs	1569_D. Inconvenient Pairs	254	solve	long Main.solve(int, int, int, int[], int[], int[], int[])	candidates/cc-valid-r101-s0059-1569-d-inconvenient-pairs/original.java
cc-valid-r065-s0055-1559-e-mocha-and-stars	1559_E. Mocha and Stars	348	ans	long EdC.ans(int, int[][], int)	candidates/cc-valid-r065-s0055-1559-e-mocha-and-stars/original.java
cc-valid-r079-s0377-1562-b-scenes-from-a-memory	1562_B. Scenes From a Memory	251	isPrime	boolean Main.isPrime(int)	candidates/cc-valid-r079-s0377-1562-b-scenes-from-a-memory/original.java
