sample_id,problem_key,canonical_problem_identity,preflight_rejected,complete_and_valid,strict_eligible,unique_problem_selected,expected_trial_count,valid_run_count,original_plain_exact_count,obfuscated_plain_exact_count,obfuscated_prompt_slice_exact_count,obfuscated_codesteer_exact_count,best_codesteer_trial,best_trace_quality_score,validation_errors,preflight_rejection_reasons
cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__00-private-000,codeforces-1549-B,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000005,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r013-s0260-1551-d2-domino-hard-version__t5_easy_seed1__00-private-038,codeforces-1551-D2,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000013,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r026-s0005-1553-c-penalty__t5_easy_seed1__00-generated-001,codeforces-1553-C,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000026,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r027-s0184-1553-d-backspace__t5_easy_seed1__00-private-005,codeforces-1553-D,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000027,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r035-s0234-1554-c-mikasa__t5_easy_seed1__00-generated-110,codeforces-1554-C,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000035,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r040-s0219-1555-c-coin-rows__t5_easy_seed1__00-generated-160,codeforces-1555-C,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000040,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r045-s0246-1556-b-take-your-places__t5_easy_seed1__00-private-001,codeforces-1556-B,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000045,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r054-s0229-1557-c-moamen-and-xor__t5_easy_seed1__00-private-017,codeforces-1557-C,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000054,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r065-s0055-1559-e-mocha-and-stars__t5_easy_seed1__00-private-006,codeforces-1559-E,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000065,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r069-s0054-1560-d-make-a-power-of-two__t5_easy_seed1__00-generated-028,codeforces-1560-D,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000069,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r069-s0346-1560-d-make-a-power-of-two__t5_easy_seed1__00-generated-028,codeforces-1560-D,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000069,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r070-s0285-1560-e-polycarp-and-string-transformation__t5_easy_seed1__00-generated-003,codeforces-1560-E,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000070,False,True,True,True,3,12,0,0,0,1,3,0.49166667,,
cc-valid-r079-s0140-1562-b-scenes-from-a-memory__t5_easy_seed1__00-generated-009,codeforces-1562-B,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000079,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r079-s0377-1562-b-scenes-from-a-memory__t5_easy_seed1__00-generated-009,codeforces-1562-B,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000079,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r086-s0131-1566-c-max-mex-cut__t5_easy_seed1__00-generated-022,codeforces-1566-C,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000086,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r088-s0102-1566-d2-seating-arrangements-hard-version__t5_easy_seed1__00-generated-122,codeforces-1566-D2,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000088,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r088-s0111-1566-d2-seating-arrangements-hard-version__t5_easy_seed1__00-generated-122,codeforces-1566-D2,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000088,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r094-s0350-1567-c-carrying-conundrum__t5_easy_seed1__00-private-001,codeforces-1567-C,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000094,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r101-s0059-1569-d-inconvenient-pairs__t5_easy_seed1__00-private-000,codeforces-1569-D,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000101,False,True,False,False,3,12,2,1,0,2,1,0.75,,
