sample_id,problem_key,canonical_problem_identity,preflight_rejected,complete_and_valid,strict_eligible,unique_problem_selected,expected_trial_count,valid_run_count,original_plain_exact_count,obfuscated_plain_exact_count,obfuscated_prompt_slice_exact_count,obfuscated_codesteer_exact_count,best_codesteer_trial,best_trace_quality_score,validation_errors,preflight_rejection_reasons
cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__00-private-000,codeforces-1549-B,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000005,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__balanced-generated-000114,codeforces-1549-B,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000005,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__balanced-generated-000119,codeforces-1549-B,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000005,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__balanced-generated-000129,codeforces-1549-B,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000005,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__balanced-generated-000145,codeforces-1549-B,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000005,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__supp-generated-003,codeforces-1549-B,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000005,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__supp-generated-021,codeforces-1549-B,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000005,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__supp-generated-027,codeforces-1549-B,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000005,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r005-s0097-1549-b-gregor-and-the-pawn-game__t5_easy_seed1__supp-generated-046,codeforces-1549-B,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000005,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r013-s0260-1551-d2-domino-hard-version__t5_easy_seed1__00-private-038,codeforces-1551-D2,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000013,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r013-s0260-1551-d2-domino-hard-version__t5_easy_seed1__balanced-private-000027,codeforces-1551-D2,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000013,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r013-s0260-1551-d2-domino-hard-version__t5_easy_seed1__balanced-private-000028,codeforces-1551-D2,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000013,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r013-s0260-1551-d2-domino-hard-version__t5_easy_seed1__balanced-private-000035,codeforces-1551-D2,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000013,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r013-s0260-1551-d2-domino-hard-version__t5_easy_seed1__balanced-private-000064,codeforces-1551-D2,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000013,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r013-s0260-1551-d2-domino-hard-version__t5_easy_seed1__supp-private-017,codeforces-1551-D2,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000013,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r013-s0260-1551-d2-domino-hard-version__t5_easy_seed1__supp-private-049,codeforces-1551-D2,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000013,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r013-s0260-1551-d2-domino-hard-version__t5_easy_seed1__supp-private-052,codeforces-1551-D2,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000013,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r013-s0260-1551-d2-domino-hard-version__t5_easy_seed1__supp-private-073,codeforces-1551-D2,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000013,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r026-s0005-1553-c-penalty__t5_easy_seed1__00-generated-001,codeforces-1553-C,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000026,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r026-s0005-1553-c-penalty__t5_easy_seed1__balanced-generated-000008,codeforces-1553-C,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000026,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r026-s0005-1553-c-penalty__t5_easy_seed1__balanced-generated-000009,codeforces-1553-C,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000026,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r026-s0005-1553-c-penalty__t5_easy_seed1__balanced-generated-000020,codeforces-1553-C,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000026,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r026-s0005-1553-c-penalty__t5_easy_seed1__balanced-generated-000021,codeforces-1553-C,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000026,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r027-s0184-1553-d-backspace__t5_easy_seed1__00-private-005,codeforces-1553-D,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000027,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r027-s0184-1553-d-backspace__t5_easy_seed1__balanced-private-000002,codeforces-1553-D,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000027,False,True,False,False,3,12,1,1,1,0,,,,
cc-valid-r027-s0184-1553-d-backspace__t5_easy_seed1__balanced-private-000007,codeforces-1553-D,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000027,False,True,False,False,3,12,0,1,0,0,,,,
cc-valid-r027-s0184-1553-d-backspace__t5_easy_seed1__balanced-private-000009,codeforces-1553-D,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000027,False,True,False,False,3,12,1,0,0,0,,,,
cc-valid-r027-s0184-1553-d-backspace__t5_easy_seed1__balanced-private-000011,codeforces-1553-D,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000027,False,True,False,False,3,12,2,1,0,2,3,0.875,,
cc-valid-r027-s0184-1553-d-backspace__t5_easy_seed1__supp-private-004,codeforces-1553-D,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000027,False,True,False,False,3,12,2,1,0,0,,,,
cc-valid-r027-s0184-1553-d-backspace__t5_easy_seed1__supp-private-019,codeforces-1553-D,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000027,False,True,False,False,3,12,1,0,0,0,,,,
cc-valid-r027-s0184-1553-d-backspace__t5_easy_seed1__supp-private-028,codeforces-1553-D,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000027,False,True,False,False,3,12,1,0,0,0,,,,
cc-valid-r027-s0184-1553-d-backspace__t5_easy_seed1__supp-private-029,codeforces-1553-D,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000027,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r035-s0234-1554-c-mikasa__t5_easy_seed1__00-generated-110,codeforces-1554-C,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000035,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r035-s0234-1554-c-mikasa__t5_easy_seed1__balanced-generated-000042,codeforces-1554-C,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000035,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r035-s0234-1554-c-mikasa__t5_easy_seed1__balanced-generated-000081,codeforces-1554-C,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000035,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r035-s0234-1554-c-mikasa__t5_easy_seed1__balanced-generated-000089,codeforces-1554-C,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000035,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r035-s0234-1554-c-mikasa__t5_easy_seed1__balanced-generated-000108,codeforces-1554-C,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000035,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r040-s0219-1555-c-coin-rows__t5_easy_seed1__00-generated-160,codeforces-1555-C,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000040,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r040-s0219-1555-c-coin-rows__t5_easy_seed1__balanced-generated-000038,codeforces-1555-C,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000040,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r040-s0219-1555-c-coin-rows__t5_easy_seed1__balanced-generated-000119,codeforces-1555-C,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000040,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r040-s0219-1555-c-coin-rows__t5_easy_seed1__balanced-generated-000130,codeforces-1555-C,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000040,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r040-s0219-1555-c-coin-rows__t5_easy_seed1__balanced-generated-000135,codeforces-1555-C,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000040,False,True,False,False,3,12,0,0,0,0,,,,
cc-valid-r040-s0219-1555-c-coin-rows__t5_easy_seed1__supp-generated-032,codeforces-1555-C,deepmind/code_contests@802411c3010cb00d1b05bad57ca77365a3c699d6:valid:row-000040,False,True,False,False,3,12,0,0,0,0,,,,
